session_key,user_id,date,hour,creative,ad_set,cta_type,cta_location,is_reserve_cta
4865,745,2026-07-28,7,business_taste,business,message_book,header,1
4917,3276,2026-07-28,9,business_taste,business,message_book,hero,1
4919,3664,2026-07-28,9,business_taste,business,message_book,hero,1
5101,3269,2026-07-28,14,business_taste,business,message_book,header,1
5253,6721,2026-07-28,20,business_taste,business,message_book,hero,1
5481,6672,2026-07-29,5,business_taste,business,message_book,hero,1
5589,3156,2026-07-29,13,business_taste,business,call_phone,floating,1
5862,6670,2026-07-29,20,business_taste,business,call_phone,floating,1
5947,5900,2026-07-29,22,family_bday_vid,family,call_phone,floating,1
6011,322,2026-07-29,23,business_space_vid,business,view_menu,hero,0
6286,4530,2026-07-30,9,family_bday_vid,family,call_phone,visit_section,1
6290,2183,2026-07-30,9,family_bday_vid,family,message_book,hero,1
6293,8072,2026-07-30,9,business_taste,business,message_book,hero,1
6347,1209,2026-07-30,11,family_bday_vid,family,call_phone,floating,1
6347,1209,2026-07-30,11,family_bday_vid,family,directions_reserve,visit_map_embed,0
6729,4747,2026-07-30,20,business_taste,business,call_phone,floating,1
6729,4747,2026-07-30,20,business_taste,business,call_phone,floating,1
6817,998,2026-07-30,21,family_bday_vid,family,directions_reserve,hero,0
6905,413,2026-07-30,22,business_taste,business,call_phone,floating,1
6989,2612,2026-07-30,23,business_taste,business,message_book,header,1
7010,2030,2026-07-31,0,business_space_vid,business,view_menu,hero,0
7044,3627,2026-07-31,4,family_bday_vid,family,call_phone,floating,1
7044,3627,2026-07-31,4,family_bday_vid,family,call_phone,floating,1
7063,1218,2026-07-31,5,family_bday_vid,family,message_book,hero,1
7064,3500,2026-07-31,5,family_bday_vid,family,message_book,hero,1
7182,3620,2026-07-31,9,business_taste,business,call_phone,floating,1
7222,5393,2026-07-31,10,business_taste,business,message_book,header,1
7390,4171,2026-07-31,14,family_taste,family,view_menu,hero,0
7487,94,2026-07-31,16,business_taste,business,directions_reserve,visit_map_embed,0
7508,2713,2026-07-31,17,business_taste,business,message_book,hero,1
7707,2957,2026-07-31,21,family_bday_vid,family,call_phone,floating,1
7854,6471,2026-07-31,23,business_space_vid,business,view_menu,hero,0
8013,2369,2026-08-01,7,business_taste,business,message_book,hero,1
8122,2778,2026-08-01,10,business_taste,business,message_book,hero,1
8157,1767,2026-08-01,11,business_taste,business,call_phone,floating,1
8225,7228,2026-08-01,13,(none),광고 외,view_menu,hero,0
8232,1434,2026-08-01,13,business_taste,business,call_phone,floating,1
8278,1646,2026-08-01,15,business_taste,business,message_book,hero,1
8291,3833,2026-08-01,15,business_taste,business,message_book,hero,1
8382,6015,2026-08-01,20,business_taste,business,message_book,hero,1
8458,425,2026-08-01,20,business_taste,business,directions_reserve,hero,0
8458,425,2026-08-01,20,business_taste,business,directions_reserve,hero,0
8460,3275,2026-08-01,20,business_taste,business,call_phone,floating,1
8460,3275,2026-08-01,20,business_taste,business,call_phone,floating,1
8460,3275,2026-08-01,20,business_taste,business,call_phone,floating,1
8472,4126,2026-08-01,20,business_taste,business,call_phone,floating,1
8472,4126,2026-08-01,20,business_taste,business,call_phone,floating,1
8472,4126,2026-08-01,20,business_taste,business,call_phone,floating,1
8472,4126,2026-08-01,20,business_taste,business,message_book,hero,1
8472,4126,2026-08-01,20,business_taste,business,message_book,hero,1
8472,4126,2026-08-01,20,business_taste,business,message_book,hero,1
8512,2788,2026-08-01,21,family_bday_vid,family,message_book,header,1
8592,8070,2026-08-01,22,family_bday_vid,family,call_phone,floating,1
8684,1940,2026-08-01,23,business_taste,business,message_book,hero,1
8709,5276,2026-08-02,0,business_taste,business,message_book,hero,1
8832,6726,2026-08-02,7,family_bday_vid,family,call_phone,floating,1
8882,2539,2026-08-02,9,business_taste,business,call_phone,floating,1
8927,6511,2026-08-02,10,business_taste,business,message_book,hero,1
9298,1810,2026-08-02,20,family_bday_vid,family,message_book,hero,1
9348,3739,2026-08-02,21,business_taste,business,message_book,hero,1
9393,7013,2026-08-02,21,business_taste,business,call_phone,floating,1
9445,6884,2026-08-02,22,business_taste,business,message_book,hero,1
9445,6884,2026-08-02,22,business_taste,business,message_book,hero,1
9469,7602,2026-08-02,22,business_taste,business,message_book,hero,1
9498,7653,2026-08-02,23,business_taste,business,call_phone,floating,1
