session_key,user_id,date,hour,weekday,weekday_ko,weekday_no,phase,creative,creative_label,ad_set,device,os,os_family,city,language,is_arrival,is_anyclick,is_action,is_cta,is_reserve,is_message,is_call,is_menu_view,is_dead_click,is_rage_click,is_nav,is_menu_tab,is_menu_group,is_view_menu,is_directions,is_lang_switch,is_privacy
26,1442,2026-07-20,16,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,947,2026-07-20,16,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,933,2026-07-20,16,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,611,2026-07-20,16,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,desktop,Chrome,Mac OS X,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6212,2026-07-20,16,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1831,2026-07-20,16,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,iOS,Nam Định,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3234,2026-07-20,16,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,iOS,Kim Liên,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2249,2026-07-20,16,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3743,2026-07-20,16,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3894,2026-07-20,16,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2364,2026-07-20,17,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Ho Chi Minh City,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4438,2026-07-20,17,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5708,2026-07-20,17,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,4926,2026-07-20,17,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2544,2026-07-20,17,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,5793,2026-07-20,17,Mon,월,1,1차,(none),광고 외 직접 유입,광고 외,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1598,2026-07-20,17,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,desktop,Chrome,Windows,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1071,2026-07-20,17,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6116,2026-07-20,17,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4892,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2544,2026-07-20,18,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1059,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,desktop,Chrome,Windows,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3407,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2223,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4322,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,desktop,Chrome,Windows,Ho Chi Minh City,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,628,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,desktop,Edge,Windows,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,4907,2026-07-20,18,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3894,2026-07-20,18,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,4393,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,6612,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,7408,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,6610,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,7042,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5228,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,5635,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,5797,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1309,2026-07-20,18,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,6971,2026-07-20,18,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,6182,2026-07-20,19,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,desktop,Chrome,Windows,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4049,2026-07-20,19,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1595,2026-07-20,19,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,4737,2026-07-20,19,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1895,2026-07-20,19,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,4646,2026-07-20,19,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,270,2026-07-20,19,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,3264,2026-07-20,19,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,922,2026-07-20,19,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Chrome,Android,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,5120,2026-07-20,19,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,7281,2026-07-20,19,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
75,638,2026-07-20,19,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,5183,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1808,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,8060,2026-07-20,20,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,3582,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4467,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,3357,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,3473,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,7934,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,5288,2026-07-20,20,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,6932,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,3672,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,7822,2026-07-20,20,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,7479,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2348,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,945,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,desktop,Chrome,Windows,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,7056,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,3894,2026-07-20,20,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2636,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1391,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,7374,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1345,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,6203,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,3153,2026-07-20,20,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Da Nang,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,4831,2026-07-20,20,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,iOS,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5325,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Ho Chi Minh City,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,5965,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,desktop,Chrome,Windows,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,7951,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,6145,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2184,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,5080,2026-07-20,21,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,4989,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,7503,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,desktop,Chrome,Windows,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,402,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,7405,2026-07-20,21,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,641,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,4133,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,3302,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1616,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,3110,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,985,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,7766,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,7483,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,5297,2026-07-20,21,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,7737,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,444,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2977,2026-07-20,21,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,6498,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,4084,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,3124,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,desktop,Chrome,Windows,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1580,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,7605,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Instagram,iOS,Hanoi,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1371,2026-07-20,21,Mon,월,1,1차,business_space_carousel,비즈니스 × 공간 (캐러셀),business,mobile,Facebook,Android,Hanoi,English,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
128,7127,2026-07-20,21,Mon,월,1,1차,family_taste,가족 × 맛 (영상),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
